time,EPL_tii2014.PLC.MN.NoEEE-Link Power
0,0
0,227
0,227
0,454
0,454
0,681
0,681
0,908
0,908
0,1135
0,1135
0,1362
0,1362
0,1589
0,1589
0,1816
0,1816
0,2043
0,2043
0,2270
0,2270
0,2497
0,2497
0,2724
0,2724
0,2951
0,2951
0,3178
0,3178
0,3405
0,3405
0,3632
0,3632
0,3859
0,3859
0,4086
0,4086
0,4313
0,4313
0,4540
0,4540
0,4767
0,4767
0,4994
0,4994
0,5221
0,5221
0,5448
0,5448
0,5675
0,5675
0,5902
0,5902
0,6129
0,6129
0,6356
0,6356
0,6583
0,6583
0,6810
0,6810
0,7037
0,7037
0,7264
0,7264
0,7491
0,7491
0,7718
0,7718
0,7945
0,7945
0,8172
0,8172
0,8399
0,8399
0,8626
0,8626
0,8853
0,8853
0,9080
0,9080
0,9307
0,9307
0,9534
0,9534
0,9761
0,9761
0,9988
0,9988
0,10215
0,10215
0,10442
0,10442
0,10669
0,10669
0,10896
0,10896
0,11123
0,11123
0,11350
0,11350
0,11577
0,11577
0,11804
0,11804
0,12031
0,12031
0,12258
0,12258
0,12485
0,12485
0,12712
0,12712
0,12939
0,12939
0,13166
0,13166
0,13393
0,13393
0,13620
0,13620
0,13847
0,13847
0,14074
0,14074
0,14301
0,14301
0,14528
0,14528
0,14755
0,14755
0,14982
0,14982
0,15209
0,15209
0,15436
0,15436
0,15663
0,15663
0,15890
0,15890
0,16117
0,16117
0,16344
0.0000416,16344
0.0000416,16468
0.00008896,16468
0.00008896,16964
0.000137279999,16964
0.000137279999,19568
0.000137279999,19568
0.000137279999,20932
0.000137279999,20932
0.000137279999,21180
0.000179455999,21180
0.000179455999,21304
0.000184639999,21304
0.000184639999,21428
0.000185599998,21428
0.000185599998,21552
0.000185599998,21552
0.000185599998,21676
0.000185599998,21676
0.000185599998,21800
0.000185599998,21800
0.000185599998,21924
0.000185599998,21924
0.000185599998,22048
0.000185599998,22048
0.000185599998,22172
0.000185599998,22172
0.000185599998,22296
0.000185599998,22296
0.000185599998,22420
0.000185599998,22420
0.000185599998,22544
0.000185599998,22544
0.000185599998,22668
0.000185599998,22668
0.000185599998,22792
0.000185599998,22792
0.000185599998,22916
0.000185599998,22916
0.000185599998,23040
0.000185599998,23040
0.000185599998,23164
0.000185599998,23164
0.000185599998,23288
0.000185599998,23288
0.000185599998,23412
0.000185599998,23412
0.000185599998,23536
0.000185599998,23536
0.000185599998,23660
0.000185599998,23660
0.000185599998,23784
0.000185599998,23784
0.000185599998,23908
0.000185599998,23908
0.000185599998,24032
0.000185599998,24032
0.000185599998,24156
0.000185599998,24156
0.000185599998,24280
0.000185599998,24280
0.000185599998,24404
0.000185599998,24404
0.000185599998,24528
0.000185599998,24528
0.000185599998,24652
0.000185599998,24652
0.000185599998,24776
0.000185599998,24776
0.000185599998,24900
0.000185599998,24900
0.000185599998,25024
0.000185599998,25024
0.000185599998,25148
0.000226815999,25148
0.000226815999,25272
0.002609839862,25272
0.002609839862,25148
0.002610415862,25148
0.002610415862,25024
0.002616559861,25024
0.002616559861,24900
0.002617135861,24900
0.002617135861,24776
0.002619523862,24776
0.002619523862,24652
0.002619523862,24652
0.002619523862,24528
0.002619523862,24528
0.002619523862,24404
0.002619523862,24404
0.002619523862,24280
0.002619523862,24280
0.002619523862,24156
0.002619523862,24156
0.002619523862,24032
0.002619523862,24032
0.002619523862,23908
0.002619523862,23908
0.002619523862,23784
0.002619523862,23784
0.002619523862,23660
0.002619523862,23660
0.002619523862,23536
0.002619523862,23536
0.002619523862,23412
0.002619523862,23412
0.002619523862,23288
0.002619523862,23288
0.002619523862,23164
0.002619523862,23164
0.002619523862,23040
0.002619523862,23040
0.002619523862,22916
0.002619523862,22916
0.002619523862,22792
0.002619523862,22792
0.002619523862,22668
0.002619523862,22668
0.002619523862,22544
0.002619523862,22544
0.002619523862,22420
0.002619523862,22420
0.002619523862,22296
0.002619523862,22296
0.002619523862,22172
0.002619523862,22172
0.002619523862,22048
0.002619523862,22048
0.002619523862,21924
0.002619523862,21924
0.002619523862,21800
0.002619523862,21800
0.002619523862,21676
0.002619523862,21676
0.002619523862,21552
0.002619523862,21552
0.002619523862,21428
0.002619523862,21428
0.002619523862,21304
0.002619523862,21304
0.002619523862,21180
0.002619523862,21180
0.002619523862,21056
0.002625283862,21056
0.002625283862,20932
0.002625283862,20932
0.002625283862,20808
0.002625283862,20808
0.002625283862,20684
0.002625283862,20684
0.002625283862,20560
0.002625283862,20560
0.002625283862,20436
0.002625283862,20436
0.002625283862,20312
0.002625283862,20312
0.002625283862,20188
0.002625283862,20188
0.002625283862,20064
0.002625283862,20064
0.002625283862,19940
0.002625283862,19940
0.002625283862,19816
